id,total,name,bez,stark_sinkend,leicht_sinkend,kein_starker_trend,leicht_steigend,stark_steigend,search,bbox,center
08136,10,Ostalbkreis,lk,0,4,5,0,1,ostalbkreis landkreis,"9.6191,48.7147,10.4571,49.0609","10.0902,48.8775"
08211,4,Baden-Baden,sk,1,0,2,0,1,baden-baden stadtkreis,"8.1088,48.6667,8.321,48.8476","8.2319,48.7485"
08212,26,Karlsruhe,sk,0,1,18,6,1,karlsruhe stadtkreis,"8.2773,48.9404,8.5429,49.0916","8.4127,49.0113"
08215,107,Karlsruhe,lk,11,24,66,6,0,karlsruhe landkreis,"8.2584,48.8131,8.8942,49.29","8.5628,49.0819"
08216,68,Rastatt,lk,1,2,60,5,0,rastatt landkreis,"7.9596,48.5867,8.4852,48.9809","8.2412,48.7618"
08221,6,Heidelberg,sk,0,4,2,0,0,heidelberg stadtkreis,"8.5731,49.3522,8.7941,49.4596","8.6942,49.4055"
08222,8,Mannheim,sk,0,0,3,1,4,mannheim stadtkreis,"8.4141,49.411,8.5901,49.5905","8.5003,49.4994"
08225,0,Neckar-Odenwald-Kreis,lk,0,0,0,0,0,neckar-odenwald-kreis landkreis,"8.938,49.2717,9.6038,49.6635","9.2801,49.4665"
08226,101,Rhein-Neckar-Kreis,lk,3,7,63,17,11,rhein-neckar-kreis landkreis,"8.4505,49.1744,9.1009,49.6259","8.7671,49.3685"
08231,0,Pforzheim,sk,0,0,0,0,0,pforzheim stadtkreis,"8.6257,48.8199,8.8086,48.9296","8.7126,48.8764"
08235,0,Calw,lk,0,0,0,0,0,calw landkreis,"8.3794,48.4839,8.8786,48.8383","8.6358,48.679"
08236,0,Enzkreis,lk,0,0,0,0,0,enzkreis landkreis,"8.4675,48.7743,8.9482,49.0622","8.7372,48.9145"
08237,1,Freudenstadt,lk,0,0,1,0,0,freudenstadt landkreis,"8.2067,48.3011,8.8289,48.6395","8.4653,48.4744"
08311,15,Freiburg im Breisgau,sk,0,2,11,1,1,freiburg im breisgau stadtkreis,"7.6625,47.9035,7.9303,48.0711","7.8181,47.9927"
08315,44,Breisgau-Hochschwarzwald,lk,1,2,37,3,1,breisgau-hochschwarzwald landkreis,"7.5297,47.7436,8.4397,48.1168","7.925,47.9249"
08316,67,Emmendingen,lk,4,6,43,11,3,emmendingen landkreis,"7.577,48.0082,8.1876,48.2605","7.8975,48.1485"
08317,164,Ortenaukreis,lk,3,13,138,8,2,ortenaukreis landkreis,"7.6807,48.1582,8.3305,48.7186","8.0163,48.4209"
08325,0,Rottweil,lk,0,0,0,0,0,rottweil landkreis,"8.2768,48.0711,8.7532,48.411","8.5324,48.2542"
08326,8,Schwarzwald-Baar-Kreis,lk,0,1,6,1,0,schwarzwald-baar-kreis landkreis,"8.1096,47.7705,8.6631,48.1869","8.411,48.0191"
08327,6,Tuttlingen,lk,0,0,6,0,0,tuttlingen landkreis,"8.5868,47.8462,9.0214,48.1846","8.7941,48.0112"
